#rho Cv stdCv V Delta tau 
0.01 195.038 8.15127 12500 0.354463 180 
0.05 261.05 171.088 2500 0.110699 650 
0.03 238.824 102.614 4166.67 0.136695 750 
0.07 320.885 326.537 1785.71 0.0987001 500 
#1 8825.23 54208.9 125 0.0138118 2500 
0.018 207.639 22.653 6944.44 0.210736 200 
0.1 420.842 920.54 1250 0.0814378 1200 
0.001 188.222 0.0807288 125000 1.89703 11 
0.003 189.727 0.807627 41666.7 0.76522 50 
0.0018 188.904 0.312588 69444.4 1.24615 30 
0.005 191.928 2.58262 25000 0.503438 100 
0.15 422.647 1711.16 833.333 0.0681087 2000 
0.12 439.675 1030.22 1041.67 0.0758636 1000 
0.18 415.849 1829.87 694.444 0.0647334 1600 
